date,station,metric,index,lag_hours
2024-03-24,DOMC,hurst,2024-03-23 21:46:00,-14.916666666666666
2024-03-24,DOMC,dfa,2024-03-24 04:30:00,-8.183333333333334
2024-03-24,DOMC,mfhurst_b,2024-03-23 20:32:00,-16.15
2024-03-24,DOMC,higuchi_fd,2024-03-23 22:28:00,-14.216666666666667
2024-03-24,DOMC,katz_fd,2024-03-23 22:36:00,-14.083333333333334
2024-03-24,DOMC,petrosian_fd,2024-03-23 18:58:00,-17.716666666666665
2024-03-24,DOMC,lepel_ziv,2024-03-23 18:46:00,-17.916666666666668
2024-03-24,DOMC,corr_dim,2024-03-23 18:44:00,-17.95
2024-03-24,DOMC,value,2024-03-23 20:26:00,-16.25
2024-03-24,KIEL2,entropy,2024-03-24 21:00:00,8.95
2024-03-24,KIEL2,sampen,2024-03-23 18:58:00,-17.083333333333332
2024-03-24,KIEL2,permutation_entropy,2024-03-24 04:24:00,-7.65
2024-03-24,KIEL2,shannon_entropy,2024-03-23 22:04:00,-13.983333333333333
2024-03-24,KIEL2,spectral_entropy,2024-03-24 21:20:00,9.283333333333333
2024-03-24,KIEL2,app_entropy,2024-03-23 20:18:00,-15.75
2024-03-24,KIEL2,hurst,2024-03-23 21:22:00,-14.683333333333334
2024-03-24,KIEL2,dfa,2024-03-23 18:58:00,-17.083333333333332
2024-03-24,KIEL2,mfhurst_b,2024-03-23 18:42:00,-17.35
2024-03-24,KIEL2,higuchi_fd,2024-03-23 21:02:00,-15.016666666666667
2024-03-24,KIEL2,katz_fd,2024-03-23 18:56:00,-17.116666666666667
2024-03-24,KIEL2,petrosian_fd,2024-03-24 06:58:00,-5.083333333333333
2024-03-24,KIEL2,lepel_ziv,2024-03-23 19:48:00,-16.25
2024-03-24,KIEL2,corr_dim,2024-03-23 20:36:00,-15.45
2024-03-24,KIEL2,value,2024-03-23 22:24:00,-13.65
2024-03-24,LMKS,entropy,2024-03-24 20:58:00,8.3
2024-03-24,LMKS,sampen,2024-03-24 02:48:00,-9.866666666666667
2024-03-24,LMKS,permutation_entropy,2024-03-24 06:02:00,-6.633333333333334
2024-03-24,LMKS,shannon_entropy,2024-03-23 20:26:00,-16.233333333333334
2024-03-24,LMKS,spectral_entropy,2024-03-24 02:00:00,-10.666666666666666
2024-03-24,LMKS,app_entropy,2024-03-23 19:40:00,-17.0
2024-03-24,LMKS,hurst,2024-03-23 20:10:00,-16.5
2024-03-24,LMKS,dfa,2024-03-24 02:08:00,-10.533333333333333
2024-03-24,LMKS,mfhurst_b,2024-03-23 20:52:00,-15.8
2024-03-24,LMKS,higuchi_fd,2024-03-24 02:36:00,-10.066666666666666
2024-03-24,LMKS,katz_fd,2024-03-23 20:56:00,-15.733333333333333
2024-03-24,LMKS,petrosian_fd,2024-03-24 15:44:00,3.066666666666667
2024-03-24,LMKS,lepel_ziv,2024-03-23 22:22:00,-14.3
2024-03-24,LMKS,corr_dim,2024-03-24 11:44:00,-0.9333333333333333
2024-03-24,LMKS,value,2024-03-23 18:46:00,-17.9
2024-03-24,INVK,entropy,2024-03-24 21:08:00,6.116666666666666
2024-03-24,INVK,sampen,2024-03-23 19:22:00,-19.65
2024-03-24,INVK,permutation_entropy,2024-03-23 20:06:00,-18.916666666666668
2024-03-24,INVK,shannon_entropy,2024-03-24 00:52:00,-14.15
2024-03-24,INVK,spectral_entropy,2024-03-24 18:02:00,3.0166666666666666
2024-03-24,INVK,app_entropy,2024-03-23 19:10:00,-19.85
2024-03-24,INVK,hurst,2024-03-23 19:04:00,-19.95
2024-03-24,INVK,dfa,2024-03-23 22:00:00,-17.016666666666666
2024-03-24,INVK,mfhurst_b,2024-03-24 00:28:00,-14.55
2024-03-24,INVK,higuchi_fd,2024-03-23 18:52:00,-20.15
2024-03-24,INVK,katz_fd,2024-03-23 19:00:00,-20.016666666666666
2024-03-24,INVK,petrosian_fd,2024-03-23 19:48:00,-19.216666666666665
2024-03-24,INVK,lepel_ziv,2024-03-23 19:20:00,-19.683333333333334
2024-03-24,INVK,corr_dim,2024-03-23 19:22:00,-19.65
2024-03-24,INVK,value,2024-03-23 19:52:00,-19.15
2024-03-24,MXCO,entropy,2024-03-25 02:46:00,14.5
2024-03-24,MXCO,sampen,2024-03-23 23:12:00,-13.066666666666666
2024-03-24,MXCO,permutation_entropy,2024-03-24 18:34:00,6.3
2024-03-24,MXCO,shannon_entropy,2024-03-24 00:34:00,-11.7
2024-03-24,MXCO,spectral_entropy,2024-03-24 17:42:00,5.433333333333334
2024-03-24,MXCO,app_entropy,2024-03-23 22:34:00,-13.7
2024-03-24,MXCO,hurst,2024-03-24 00:32:00,-11.733333333333333
2024-03-24,MXCO,dfa,2024-03-23 20:46:00,-15.5
2024-03-24,MXCO,mfhurst_b,2024-03-23 23:10:00,-13.1
2024-03-24,MXCO,higuchi_fd,2024-03-24 00:30:00,-11.766666666666667
2024-03-24,MXCO,katz_fd,2024-03-23 20:26:00,-15.833333333333334
2024-03-24,MXCO,petrosian_fd,2024-03-25 00:00:00,11.733333333333333
2024-03-24,MXCO,lepel_ziv,2024-03-23 18:56:00,-17.333333333333332
2024-03-24,MXCO,corr_dim,2024-03-23 23:34:00,-12.7
2024-03-24,MXCO,value,2024-03-23 21:44:00,-14.533333333333333
2024-03-24,APTY,entropy,2024-03-24 20:40:00,5.766666666666667
2024-03-24,APTY,sampen,2024-03-23 18:56:00,-19.966666666666665
2024-03-24,APTY,permutation_entropy,2024-03-24 17:40:00,2.7666666666666666
2024-03-24,APTY,shannon_entropy,2024-03-23 21:38:00,-17.266666666666666
2024-03-24,APTY,spectral_entropy,2024-03-24 17:26:00,2.533333333333333
2024-03-24,APTY,app_entropy,2024-03-23 19:14:00,-19.666666666666668
2024-03-24,APTY,hurst,2024-03-23 19:40:00,-19.233333333333334
2024-03-24,APTY,dfa,2024-03-24 01:32:00,-13.366666666666667
2024-03-24,APTY,mfhurst_b,2024-03-23 20:52:00,-18.033333333333335
2024-03-24,APTY,higuchi_fd,2024-03-24 02:12:00,-12.7
2024-03-24,APTY,katz_fd,2024-03-23 18:42:00,-20.2
2024-03-24,APTY,petrosian_fd,2024-03-24 17:40:00,2.7666666666666666
2024-03-24,APTY,lepel_ziv,2024-03-23 19:00:00,-19.9
2024-03-24,APTY,corr_dim,2024-03-23 19:12:00,-19.7
2024-03-24,APTY,value,2024-03-24 09:46:00,-5.133333333333334
2024-05-10,MWSN,entropy,2024-05-10 22:17:00,6.283333333333333
2024-05-10,MWSN,sampen,2024-05-10 02:21:00,-13.65
2024-05-10,MWSN,permutation_entropy,2024-05-10 11:23:00,-4.616666666666666
2024-05-10,MWSN,shannon_entropy,2024-05-10 01:06:00,-14.9
2024-05-10,MWSN,spectral_entropy,2024-05-10 18:44:00,2.7333333333333334
2024-05-10,MWSN,app_entropy,2024-05-10 02:27:00,-13.55
2024-05-10,MWSN,hurst,2024-05-10 02:44:00,-13.266666666666667
2024-05-10,MWSN,dfa,2024-05-10 01:34:00,-14.433333333333334
2024-05-10,MWSN,mfhurst_b,2024-05-10 09:04:00,-6.933333333333334
2024-05-10,MWSN,higuchi_fd,2024-05-10 08:28:00,-7.533333333333333
2024-05-10,MWSN,katz_fd,2024-05-10 01:46:00,-14.233333333333333
2024-05-10,MWSN,petrosian_fd,2024-05-10 12:07:00,-3.8833333333333333
2024-05-10,MWSN,lepel_ziv,2024-05-10 02:15:00,-13.75
2024-05-10,MWSN,corr_dim,2024-05-10 02:03:00,-13.95
2024-05-10,MWSN,value,2024-05-10 04:47:00,-11.216666666666667
2024-05-10,DOMB,entropy,2024-05-10 04:32:00,-13.283333333333333
2024-05-10,DOMB,sampen,2024-05-10 05:03:00,-12.766666666666667
2024-05-10,DOMB,permutation_entropy,2024-05-10 02:32:00,-15.283333333333333
